[ 0.45433645  0.53798157]
[ 0.66820039  0.35119406]
[ 0.62810463  0.33725841]
[ 0.45359328  0.28349409]
[ 0.54451586  0.3036249 ]
[ 0.49982048  0.25564055]
[ 0.61628336  0.44404055]
[ 0.50228921  0.39733481]
[ 0.56405196  0.4823872 ]
[ 0.52329185  0.49830964]
[ 0.5764619   0.62849313]
[ 0.6144136   0.67849519]
[ 0.87755454  0.81300998]
[ 0.4722678   0.53675932]
[ 0.47363388  0.53449952]
[ 0.76014155  0.79156272]
[ 0.56835509  0.71519962]
[ 0.65299503  0.78145487]
[ 0.81271262  1.01836139]
[ 0.55390312  0.86980874]
[ 0.58836641  0.86773458]
[ 0.52099034  0.79990929]
[ 0.44956409  0.84768314]
[ 0.59762209  0.94103183]
[ 0.59338388  1.04017908]
[ 0.53394529  0.98610916]
[ 0.63289734  1.17578626]
[ 0.54226738  1.09732938]
[ 0.52442442  1.029746  ]
[ 0.54308394  1.11295528]
[ 0.57280149  1.22035451]
[ 0.59500475  1.36100795]
[ 0.5258022   1.14792056]
[ 0.54912662  1.22726667]
[ 0.52522634  1.27135839]
[ 0.60209805  1.47811781]
[ 0.48946363  1.21849746]
[ 0.61516745  1.45362246]
[ 0.51375036  1.2975308 ]
[ 0.55911101  1.22501525]
[ 0.60536593  1.55080076]
[ 0.61064279  1.61885012]
[ 0.56430978  1.56957996]
[ 0.5549181   1.58907505]
[ 0.61133411  1.59762067]
[ 0.57567002  1.51304028]
[ 0.53172159  1.6565174 ]
[ 0.50432185  1.70240949]
[ 0.55289706  1.76782077]
[ 0.58242907  1.7469961 ]
[ 0.53075374  1.69178772]
[ 0.59994064  1.77253865]
[ 0.59132307  1.71955512]
[ 0.62427783  1.73649655]
[ 0.63039703  1.74785663]
[ 0.58926842  1.78249641]
[ 0.62154217  1.88186861]
[ 0.60378162  1.97166817]
[ 0.39475126  2.13270825]
[ 0.56950635  2.05131277]
[ 0.55145318  2.06439421]
[ 0.61572287  2.03453612]
[ 0.56205173  2.12217371]
[ 0.63249864  1.98497004]
[ 0.47886222  2.21599955]
[ 0.48513951  2.18491901]
[ 0.62839578  2.25230877]
[ 0.63263712  2.07542626]
[ 0.50856153  2.2590075 ]
[ 0.48044966  2.2825233 ]
[ 0.61281907  2.27265449]
[ 0.49411297  2.4530893 ]
[ 0.58263643  2.35294548]
[ 0.61488505  2.3805796 ]
[ 0.58670586  2.39708434]
[ 0.6320992   2.41439202]
[ 0.68338963  2.40438195]
[ 0.56100157  2.63385983]
[ 0.63577425  2.47193819]
[ 0.55196642  2.6465376 ]
[ 0.64880894  2.59806717]
[ 0.66306018  2.61711624]
[ 0.65306474  2.63633114]
[ 0.60108942  2.71290768]
[ 0.65328573  2.66151292]
[ 0.70275871  2.63372669]
[ 0.72739967  2.6701442 ]
[ 0.75807659  2.65029451]
[ 1.01306007  2.53384152]
[ 0.98337991  2.50037541]
[ 0.82071423  2.57968034]
[ 0.95198192  2.59675671]
[ 0.90471556  2.64756861]
[ 0.92089677  2.64263061]
[ 0.97153603  2.63573364]
[ 1.0761582   2.61710546]
[ 0.8429813   2.67506986]
[ 1.17809742  2.55726884]
[ 1.09801967  2.57767634]
[ 1.07007316  2.60221099]
[ 1.25170705  2.64300611]
[ 1.0989759  2.6569227]
[ 1.15147838  2.58214731]
[ 1.35529449  2.63669411]
[ 1.19739196  2.55895452]
[ 1.15414595  2.57646081]
[ 1.21402512  2.60239101]
[ 1.1116543   2.58826401]
[ 0.94271413  2.64346015]
[ 1.25777625  2.48715318]
[ 1.074196    2.54062045]
[ 1.19756143  2.51414358]
[ 1.28614392  2.4497009 ]
[ 1.08041298  2.52571861]
[ 1.3003359   2.39198079]
[ 1.09749284  2.5086753 ]
[ 1.04804273  2.52843613]
[ 1.18962952  2.33078526]
[ 1.05459719  2.41911851]
[ 1.23052352  2.23471482]
[ 1.11649198  2.20301221]
[ 1.32425616  2.21881292]
[ 1.08313483  2.14234936]
[ 1.13669492  2.17312658]
[ 1.15705983  2.01679402]
[ 1.081831    2.03901032]
[ 1.12645837  2.06332813]
[ 1.04089907  1.96844817]
[ 1.31025715  2.00660293]
[ 1.31706777  1.94863918]
[ 1.25201229  2.08540133]
[ 1.18627371  1.84650274]
[ 1.13757257  1.94036089]
[ 1.23822493  1.84051518]
[ 1.11067163  1.81692873]
[ 1.14449069  1.76618232]
[ 1.17000161  1.73627372]
[ 1.23715209  1.64038077]
[ 1.13906227  1.76757432]
[ 1.1215089   1.77099548]
[ 1.12644521  1.57411284]
[ 1.18308515  1.63189486]
[ 1.10765918  1.61935287]
[ 1.29894424  1.63659492]
[ 1.11353943  1.40249324]
[ 1.24739177  1.48187865]
[ 1.22098262  1.40009737]
[ 1.16331144  1.35622872]
[ 1.09457108  1.29604104]
[ 1.24605486  1.43993   ]
[ 1.27668728  1.45608902]
[ 1.13122244  1.28509039]
[ 1.08049903  1.14992157]
[ 1.23201317  1.21250196]
[ 1.16284041  1.23305495]
[ 1.25220902  1.14085421]
[ 1.09866813  1.1044461 ]
[ 1.12972575  1.03662254]
[ 1.29507665  1.19329687]
[ 1.20657522  1.07475011]
[ 1.15037343  1.02189206]
[ 0.60989833  0.53455643]
[ 1.23602316  1.02757856]
[ 0.92708728  0.71432708]
[ 1.19854225  0.90317255]
[ 1.10586267  0.8189439 ]
[ 1.09568372  0.84840955]
[ 1.20724583  0.82817857]
[ 1.14063595  0.79558067]
[ 1.0559937   0.66458716]
[ 1.26592818  0.79450565]
[ 1.05108672  0.64962234]
[ 1.10798472  0.60444456]
[ 1.22966318  0.68408041]
[ 1.05587607  0.57099244]
[ 1.19158514  0.56623934]
[ 1.16247338  0.52576733]
[ 1.00240355  0.39962609]
[ 1.10912949  0.44424745]
[ 1.19653134  0.4410606 ]
[ 1.35334739  0.48866457]
[ 1.10506969  0.37878076]
[ 1.15125481  0.32840669]
[ 1.18678465  0.34187358]
[ 1.15112687  0.29845367]
[ 1.30263442  0.3475611 ]
[ 1.2321834  0.3386336]
[ 1.22461016  0.29867042]
[ 1.3539912   0.33060719]
[ 1.37365907  0.33105819]
[ 1.28115697  0.30356293]
[ 1.46364323  0.29709965]
[ 1.4046974   0.30842248]
[ 1.48988263  0.27593526]
[ 1.68929781  0.30190247]
[ 1.45047595  0.28728286]
[ 1.51906483  0.28159   ]
[ 1.63528395  0.28459618]
[ 1.56773988  0.27148565]
[ 1.65260089  0.29373785]
[ 1.49766389  0.27873031]
[ 1.54329249  0.27089284]
[ 1.55719551  0.28215149]
[ 1.68079708  0.31805796]
[ 1.54481854  0.2841822 ]
[ 1.81087035  0.29039061]
[ 1.79482397  0.31086846]
[ 1.78428125  0.3228828 ]
[ 1.87215789  0.30632667]
[ 1.87011175  0.35116285]
[ 1.82840823  0.36784153]
[ 1.79226774  0.43815957]
[ 1.80691726  0.40968017]
[ 1.76593527  0.49036941]
[ 1.7885777   0.44574824]
[ 1.73394064  0.48811726]
[ 1.90449664  0.49253731]
[ 2.00293364  0.39777172]
[ 2.01798693  0.52376591]
[ 2.013291    0.59415734]
[ 1.92333474  0.62894219]
[ 1.78931587  0.71123544]
[ 1.8160113   0.74363712]
[ 1.76445096  0.79570847]
[ 1.78650814  0.85908875]
[ 1.73908948  0.74043674]
[ 1.94089539  0.76580996]
[ 1.71889967  1.01349816]
[ 1.8367459   0.94982203]
[ 1.85590419  0.87047622]
[ 1.78726104  1.00830123]
[ 1.67469023  1.07055808]
[ 1.66319952  1.22597458]
[ 1.73011406  1.1463503 ]
[ 1.70982038  1.09330839]
[ 1.74607661  1.11773306]
[ 1.88588305  1.11768937]
[ 1.73350673  1.10993307]
[ 1.79010764  1.17997497]
[ 1.78333915  1.16018232]
[ 1.77233993  1.27027216]
[ 1.6882535   1.30897308]
[ 1.71507021  1.34594246]
[ 1.83697822  1.36384027]
[ 1.74513549  1.35817487]
[ 1.830526    1.35612264]
[ 1.74342101  1.35890701]
[ 1.81677588  1.32286689]
[ 1.76917911  1.58681032]
[ 1.86362691  1.52125042]
[ 1.76446447  1.72478211]
[ 1.80059872  1.72153562]
[ 1.87356729  1.74648914]
[ 1.79608542  1.52424162]
[ 1.70541469  1.63595141]
[ 1.84825185  1.69671122]
[ 1.88110236  1.76587848]
[ 1.90103314  1.82885159]
[ 1.89404606  1.66990864]
[ 1.68438434  1.79361545]
[ 1.74879174  1.95790299]
[ 1.63144423  1.69247589]
[ 1.83144101  1.89891262]
[ 1.90568313  1.97741858]
[ 1.85515436  2.08444666]
[ 2.06527093  2.13247474]
[ 1.97220724  2.19336567]
[ 1.96541743  2.14200231]
[ 1.8958322   2.08773442]
[ 1.90955969  2.15347891]
[ 1.89640597  2.29791085]
[ 1.90955776  2.26213108]
[ 1.77192044  2.26733252]
[ 1.76773221  2.16687002]
[ 2.0251329   2.52543777]
[ 1.92226184  2.35656565]
[ 1.63957063  2.23277288]
[ 1.98091044  2.47816915]
[ 1.89009023  2.50343141]
[ 1.95963989  2.52637357]
[ 1.97985784  2.55481033]
[ 1.87964731  2.51246618]
[ 1.78875516  2.55836982]
[ 1.96715533  2.64892152]
[ 1.71472513  2.5237659 ]
[ 1.93225355  2.60084298]
[ 1.72659653  2.64535412]
[ 1.70647287  2.57270317]
[ 1.81966681  2.63748497]
[ 1.75172169  2.66288535]
[ 1.6987667   2.54230245]
[ 1.89543774  2.67027854]
[ 1.73301888  2.56811774]
[ 1.66261103  2.62601592]
[ 1.62413643  2.60635914]
[ 1.95591641  2.62261739]
[ 2.04246749  2.65567752]
[ 2.15905394  2.71038592]
[ 2.02383546  2.63845862]
[ 1.98232284  2.60864739]
[ 2.03823555  2.60332367]
[ 2.04914087  2.57348049]
[ 2.16298884  2.6487567 ]
[ 2.17276334  2.64549343]
[ 2.1925999   2.65011081]
[ 2.3129572   2.65663063]
[ 2.23145439  2.56751278]
[ 2.26648659  2.53915456]
[ 2.31630777  2.63816139]
[ 2.46610036  2.66072859]
[ 2.39883699  2.66244015]
[ 2.36119209  2.64784973]
[ 2.35713049  2.49913171]
[ 2.31383762  2.58277584]
[ 2.47091498  2.68271092]
[ 2.41548246  2.58952779]
[ 2.36886466  2.46080789]
[ 2.48451927  2.58079486]
[ 2.31175341  2.47030793]
[ 2.29344522  2.29504159]
[ 2.43328454  2.41112497]
[ 2.41783103  2.25663002]
[ 2.34914578  2.24850187]
[ 2.39308565  2.31992808]
[ 2.42939402  2.31469644]
[ 2.31046716  2.19904352]
[ 2.50491981  2.2700923 ]
[ 2.41381141  2.13234942]
[ 2.33846978  2.05970934]
[ 2.43892815  2.09410977]
[ 2.6062567   2.17648239]
[ 2.6019963   2.14029619]
[ 2.44980193  2.10849459]
[ 2.59235205  2.15321336]
[ 2.45338776  1.92238183]
[ 2.44729305  1.9605562 ]
[ 2.31922971  1.63673891]
[ 2.3487828   1.73116669]
[ 2.47854611  1.89520378]
[ 2.39758352  1.7289559 ]
[ 2.47780699  1.80280597]
[ 2.49435237  1.84026362]
[ 2.34099072  1.59176013]
[ 2.35553569  1.65919708]
[ 2.39291724  1.65127874]
[ 2.44880287  1.76563114]
[ 2.46044026  1.70283436]
[ 2.3879424   1.55837397]
[ 2.38168168  1.64184719]
[ 2.37217738  1.58254459]
[ 2.42178075  1.59986361]
[ 2.46757307  1.39558351]
[ 2.37211818  1.47744224]
[ 2.40111659  1.45120963]
[ 2.32844119  1.46822226]
[ 2.46070048  1.35456398]
[ 2.57928633  1.13348805]
[ 2.48109467  1.22419021]
[ 2.51291014  1.10755127]
[ 2.44459505  1.17402774]
[ 2.58505691  1.04715809]
[ 2.54160414  1.04090935]
[ 2.45674035  1.04865483]
[ 2.45118532  1.17075839]
[ 2.40428097  0.9973307 ]
[ 2.5164701   0.97072188]
[ 2.42437434  1.07375704]
[ 2.57233409  0.8776951 ]
[ 2.4162365   1.01460927]
[ 2.41412098  1.03708624]
[ 2.45036766  0.85189639]
[ 2.46626352  0.82479246]
[ 2.45398922  0.8142012 ]
[ 2.45395975  0.78887338]
[ 2.35979599  0.83872453]
[ 2.41933486  0.7897577 ]
[ 2.43602904  0.54659407]
[ 2.47406141  0.63602563]
[ 2.4104161   0.68564704]
[ 2.48721663  0.69654032]
[ 2.57371684  0.52229955]
[ 2.48558287  0.39343242]
[ 2.51488836  0.46643097]
[ 2.35713187  0.53335554]
[ 2.15324118  0.80372669]
[ 2.31606901  0.60284515]
[ 2.47659643  0.28041332]
[ 2.43596864  0.27724793]
[ 2.3579906   0.40340795]
[ 2.45358646  0.3558701 ]
[ 2.4024742   0.34555783]
[ 2.45985032  0.27749102]
[ 2.37590603  0.33240402]
